City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ranong,TH,9.9658,98.6348,82.33,77,99,8.88,overcast clouds
334,Cayenne,GF,4.9333,-52.3333,78.84,89,0,0.0,clear sky
335,Nuevo Progreso,MX,23.1667,-97.95,78.55,89,29,0.6,scattered clouds
336,Baykit,RU,61.67,96.37,48.76,88,100,9.1,light rain
337,Puquio,PE,-14.7,-74.1333,43.79,48,22,2.62,few clouds
338,Port Macquarie,AU,-31.4333,152.9167,73.89,44,100,5.53,overcast clouds
339,Wundanyi,KE,-3.4019,38.364,59.45,79,64,5.1,broken clouds
340,Rudkobing,DK,54.9364,10.7102,52.29,87,48,15.82,scattered clouds
341,Kedrovyy,RU,56.1667,91.8167,57.87,56,76,9.13,broken clouds
342,Biu,NG,10.6129,12.1946,66.34,96,98,2.62,light rain
343,Zalantun,CN,48.0,122.7167,51.37,16,8,23.91,clear sky
344,Saint Cloud,US,45.5608,-94.1625,60.39,93,0,3.44,clear sky
345,Kalmar,SE,56.6616,16.3616,51.96,87,100,8.05,overcast clouds
